Matrix Dim n,Run 1,Run 2,Run 3,Run 4,Run 5,Average
300,674,515,433,876,887,677
350,694,813,697,1304,1246,950.8
400,1062,1423,1036,1927,1846,1458.8
450,1579,1675,1509,3198,2820,2156.2
500,2147,3039,2103,4597,4227,3222.6
550,3215,3519,2861,6326,6260,4436.2
600,4076,4718,3740,9081,8429,6008.8
650,5617,6868,4972,10836,11111,7880.8
700,7577,8602,6561,11570,14904,9842.8
750,12116,11123,8462,18739,18991,13886.2
800,12611,12260,10883,22957,22913,16324.8
850,16007,15469,14075,30106,29918,21115
900,17726,17796,18164,30999,34604,23857.8
950,24801,27827,55152,44031,43022,38966.6
1000,26577,90730,84146,50726,71250,64685.8
