Matrix Dim n,Basic,Improved,Advanced
500,1953,235,178
550,2650,253,105
600,3586,393,134
650,4738,554,200
700,6892,557,238
750,7805,744,273
800,9094,826,340
850,10668,1097,448
900,12736,994,358
950,15647,1411,564
1000,20266,2036,943
500,2093,204,79
550,2658,237,92
600,3417,397,142
650,4504,539,190
700,6251,592,232
750,7389,672,254
800,9178,987,377
850,11261,1028,411
900,13965,1239,523
950,16841,1381,565
1000,20548,1492,613
500,2093,204,79
550,2658,237,92
600,3417,397,142
650,4504,539,190
700,6251,592,232
750,7389,672,254
800,9178,987,377
850,11261,1028,411
900,13965,1239,523
950,16841,1381,565
1000,20548,1492,613
