Length N,ConvertMultiply,JSAMultiply
20,11,-
20,-,26
20,5,-
20,-,16
20,5,-
20,-,7
20,5,-
20,-,1
20,5,-
20,-,6
30,46,-
30,-,3
30,4,-
30,-,1
30,4,-
30,-,7
30,3,-
30,-,2
30,4,-
30,-,6
40,4,-
40,-,17
40,23,-
40,-,17
40,4,-
40,-,12
40,15,-
40,-,13
40,2,-
40,-,15
50,4,-
50,-,34
50,108,-
50,-,0
50,4,-
50,-,17
50,4,-
50,-,15
50,5,-
50,-,13
60,80,-
60,-,158
60,61,-
60,-,47
60,31,-
60,-,22
60,3,-
60,-,12
60,7,-
60,-,23
70,47,-
70,-,9
70,7,-
70,-,32
70,7,-
70,-,14
70,8,-
70,-,89
70,5,-
70,-,83
80,16,-
80,-,9
80,93,-
80,-,1
80,19,-
80,-,30
80,8,-
80,-,344
80,8,-
80,-,68
90,11,-
90,-,409
90,14,-
90,-,169
90,12,-
90,-,101
90,37,-
90,-,9
90,12,-
90,-,39
100,18,-
100,-,16
100,16,-
100,-,27
100,20,-
100,-,192
100,17,-
100,-,106
100,15,-
100,-,66
